"NYC_BOROUGH","NEIGHBORHOOD","ROOM_TYPE","PRICE","SERVICE_FEE","NUMBER_OF_REVIEWS","MINIMUM_NIGHTS","CANCELLATION_POLICY"
"Manhattan","Upper East Side","Private room",1050,210,1,2,"flexible"
"Manhattan","SoHo","Private room",163,33,17,1,"moderate"
"Manhattan","Upper East Side","Private room",1195,239,8,3,"strict"
"Manhattan","Midtown","Private room",1040,208,2,1,"flexible"
"Manhattan","SoHo","Private room",240,48,18,1,"strict"
"Manhattan","SoHo","Private room",269,54,2,1,"strict"
"Manhattan","Nolita","Private room",609,122,14,1,"strict"
"Manhattan","West Village","Private room",704,141,1,0,"strict"
"Manhattan","Midtown","Private room",659,132,1,1,"strict"
"Manhattan","West Village","Private room",184,37,12,2,"moderate"
"Manhattan","Upper East Side","Private room",1006,201,1,3,"flexible"
"Manhattan","Upper East Side","Private room",230,46,6,1,"moderate"
"Manhattan","Midtown","Private room",432,86,1,3,"strict"
"Manhattan","West Village","Private room",626,125,3,2,"moderate"
"Manhattan","Upper East Side","Private room",1120,224,11,3,"strict"
"Manhattan","Midtown","Private room",445,89,14,1,"flexible"
"Manhattan","Upper East Side","Private room",508,102,19,1,"flexible"
"Manhattan","Upper East Side","Private room",309,62,14,1,"flexible"
"Manhattan","SoHo","Private room",772,154,1,3,"moderate"
"Manhattan","SoHo","Private room",341,68,7,1,"moderate"
"Manhattan","Upper East Side","Private room",114,23,4,1,"flexible"
"Manhattan","Midtown","Private room",381,76,1,1,"strict"
"Manhattan","SoHo","Private room",125,25,1,5,"strict"
"Manhattan","Upper East Side","Private room",646,129,8,1,"flexible"
"Manhattan","Upper East Side","Private room",414,83,7,3,"moderate"
"Manhattan","Nolita","Private room",668,134,2,4,"flexible"
"Manhattan","Upper East Side","Private room",710,142,3,5,"strict"
"Manhattan","Upper East Side","Private room",394,79,2,1,"moderate"
"Manhattan","Midtown","Private room",891,178,10,2,"strict"
"Manhattan","Upper East Side","Private room",726,145,3,0,"moderate"
"Manhattan","Upper East Side","Private room",1133,227,2,4,"flexible"
"Manhattan","Midtown","Private room",965,193,8,1,"moderate"
"Manhattan","Upper East Side","Private room",261,52,4,4,"moderate"
"Manhattan","Midtown","Private room",782,156,6,1,"flexible"
"Manhattan","Midtown","Private room",81,16,2,1,"moderate"
"Manhattan","Midtown","Private room",840,168,3,1,"moderate"
"Manhattan","Midtown","Private room",74,15,1,1,"strict"
"Manhattan","Midtown","Private room",973,195,1,1,"flexible"
"Manhattan","SoHo","Private room",178,36,1,1,"strict"
"Manhattan","SoHo","Private room",516,103,1,1,"moderate"
"Manhattan","SoHo","Private room",1018,204,1,1,"moderate"
"Manhattan","Midtown","Private room",399,80,2,5,"moderate"
"Manhattan","Midtown","Private room",388,78,2,3,"moderate"
"Manhattan","Midtown","Private room",740,148,3,1,"moderate"
"Manhattan","Midtown","Private room",809,162,4,1,"strict"
"Manhattan","Nolita","Private room",507,101,2,3,"moderate"
"Manhattan","Upper East Side","Private room",800,160,9,1,"flexible"
"Manhattan","Midtown","Private room",988,198,1,1,"strict"
"Manhattan","Midtown","Private room",662,132,4,1,"flexible"
"Manhattan","West Village","Private room",311,62,2,3,"strict"
"Manhattan","Midtown","Private room",885,177,1,1,"flexible"
"Manhattan","Midtown","Private room",1172,234,6,1,"flexible"
"Manhattan","Midtown","Private room",710,142,1,1,"flexible"
"Manhattan","Midtown","Private room",489,98,9,1,"moderate"
"Manhattan","Upper East Side","Private room",622,124,2,4,"moderate"
"Manhattan","West Village","Private room",923,185,2,1,"strict"
"Manhattan","SoHo","Private room",841,168,2,4,"moderate"
"Manhattan","Midtown","Private room",227,45,4,6,"flexible"
"Manhattan","Upper East Side","Private room",717,143,4,1,"moderate"
"Manhattan","Midtown","Private room",248,50,1,2,"flexible"
"Manhattan","Upper East Side","Private room",829,166,4,1,"moderate"
"Manhattan","West Village","Private room",210,42,1,3,"flexible"
"Manhattan","Midtown","Private room",691,138,1,1,"moderate"
"Manhattan","Midtown","Private room",377,75,1,1,"flexible"
"Manhattan","Midtown","Private room",437,87,6,1,"flexible"
"Manhattan","Upper East Side","Private room",1114,223,1,4,"strict"
"Manhattan","Upper East Side","Private room",1103,221,1,1,"moderate"
"Manhattan","Midtown","Private room",918,184,1,2,"flexible"
"Manhattan","Upper East Side","Private room",1107,221,1,1,"moderate"
"Manhattan","SoHo","Private room",187,37,9,1,"strict"
"Manhattan","SoHo","Private room",359,72,25,1,"moderate"
"Manhattan","SoHo","Private room",1196,239,24,1,"moderate"
"Manhattan","SoHo","Private room",123,25,1,3,"moderate"
"Manhattan","Midtown","Private room",630,126,41,5,"moderate"
"Manhattan","Upper East Side","Private room",170,34,101,4,"moderate"
"Manhattan","Upper East Side","Private room",702,140,1,1,"moderate"
"Manhattan","Nolita","Private room",577,115,10,2,"strict"
"Manhattan","Upper East Side","Private room",818,164,3,1,"flexible"
"Manhattan","Midtown","Private room",562,112,1,2,"strict"
"Manhattan","Midtown","Private room",260,52,32,4,"flexible"
"Manhattan","Upper East Side","Private room",646,129,7,3,"flexible"
"Manhattan","Midtown","Private room",522,104,24,2,"flexible"
"Manhattan","Upper East Side","Private room",751,150,9,5,"moderate"
"Manhattan","Midtown","Private room",230,46,3,4,"moderate"
"Manhattan","Midtown","Private room",1133,227,8,3,"moderate"
"Manhattan","Midtown","Private room",543,109,3,3,"flexible"
"Manhattan","Midtown","Private room",348,70,12,3,"flexible"
"Manhattan","Midtown","Private room",477,95,2,3,"flexible"
"Manhattan","Midtown","Private room",575,115,7,3,"flexible"
"Manhattan","Midtown","Private room",192,38,13,2,"flexible"
"Manhattan","Midtown","Private room",212,42,3,4,"moderate"
"Manhattan","Nolita","Private room",771,154,5,2,"moderate"
"Manhattan","Midtown","Private room",737,147,3,2,"moderate"
"Manhattan","Upper East Side","Private room",792,158,73,1,"moderate"
"Manhattan","Midtown","Private room",56,11,1,1,"flexible"
"Manhattan","Nolita","Private room",1155,231,123,2,"strict"
"Manhattan","West Village","Private room",504,101,8,3,"flexible"
"Manhattan","Upper East Side","Private room",726,145,61,2,"moderate"
"Manhattan","Upper East Side","Private room",198,40,1,1,"moderate"
"Manhattan","West Village","Private room",1045,209,107,1,"flexible"
"Manhattan","Nolita","Private room",148,30,66,2,"flexible"
"Manhattan","Midtown","Private room",718,144,4,1,"strict"
"Manhattan","Upper East Side","Private room",434,87,17,2,"flexible"
"Manhattan","Midtown","Private room",464,93,8,3,"moderate"
"Manhattan","Upper East Side","Private room",605,121,8,2,"strict"
"Manhattan","Upper East Side","Private room",81,16,27,1,"moderate"
"Manhattan","Upper East Side","Private room",667,133,42,2,"flexible"
"Manhattan","Midtown","Private room",407,81,2,1,"flexible"
"Manhattan","Upper East Side","Private room",271,54,11,1,"moderate"
"Manhattan","Midtown","Private room",649,130,23,2,"flexible"
"Manhattan","Midtown","Private room",1136,227,6,1,"flexible"
"Manhattan","Upper East Side","Private room",640,128,19,4,"strict"
"Manhattan","Upper East Side","Private room",616,123,3,2,"strict"
"Manhattan","Midtown","Private room",143,29,1,3,"moderate"
"Manhattan","Midtown","Private room",472,94,2,3,"strict"
"Manhattan","Midtown","Private room",835,167,1,3,"strict"
"Manhattan","Midtown","Private room",853,171,1,2,"strict"
"Manhattan","Upper East Side","Private room",1167,233,14,2,"strict"
"Manhattan","Upper East Side","Private room",1187,237,14,1,"strict"
"Manhattan","West Village","Private room",533,107,32,1,"flexible"
"Manhattan","Upper East Side","Private room",433,87,19,1,"moderate"
"Manhattan","Midtown","Private room",435,87,2,2,"flexible"
"Manhattan","Upper East Side","Private room",203,41,35,2,"moderate"
"Manhattan","Midtown","Private room",226,45,2,3,"moderate"
"Manhattan","Midtown","Private room",609,122,1,3,"strict"
"Manhattan","Midtown","Private room",980,196,2,2,"flexible"
"Manhattan","Midtown","Private room",1019,204,21,2,"strict"
"Manhattan","Upper East Side","Private room",492,98,79,3,"flexible"
"Manhattan","Upper East Side","Private room",383,77,7,3,"strict"
"Manhattan","Upper East Side","Private room",589,118,18,3,"strict"
"Manhattan","Upper East Side","Private room",940,188,133,1,"strict"
"Manhattan","Upper East Side","Private room",505,101,3,5,"flexible"
"Manhattan","Upper East Side","Private room",284,57,7,4,"moderate"
"Manhattan","SoHo","Private room",468,94,63,1,"flexible"
"Manhattan","West Village","Private room",317,63,87,3,"strict"
"Manhattan","Upper East Side","Private room",764,153,2,2,"flexible"
"Manhattan","Upper East Side","Private room",126,25,120,1,"flexible"
"Manhattan","Upper East Side","Private room",487,97,117,1,"flexible"
"Manhattan","Nolita","Private room",68,14,8,1,"moderate"
"Manhattan","Nolita","Private room",57,11,47,6,"flexible"
"Manhattan","Upper East Side","Private room",675,135,85,3,"strict"
"Manhattan","Midtown","Private room",577,115,62,3,"moderate"
"Manhattan","Upper East Side","Private room",358,72,10,2,"flexible"
"Manhattan","SoHo","Private room",455,91,2,5,"flexible"
"Manhattan","Midtown","Private room",432,86,1,1,"moderate"
"Manhattan","Upper East Side","Private room",1125,225,3,1,"moderate"
"Manhattan","Upper East Side","Private room",1063,213,68,1,"flexible"
"Manhattan","Upper East Side","Private room",869,174,71,5,"flexible"
"Manhattan","Nolita","Private room",215,43,25,4,"moderate"
"Manhattan","Upper East Side","Private room",346,69,36,2,"flexible"
"Manhattan","Upper East Side","Private room",79,16,9,2,"flexible"
"Manhattan","West Village","Private room",370,74,1,4,"strict"
"Manhattan","Midtown","Private room",729,146,1,4,"strict"
"Manhattan","SoHo","Private room",961,192,60,2,"strict"
"Manhattan","Upper East Side","Private room",359,72,15,1,"flexible"
"Manhattan","Nolita","Private room",827,165,44,2,"strict"
"Manhattan","Upper East Side","Private room",593,119,9,2,"flexible"
"Manhattan","Upper East Side","Private room",655,131,59,1,"strict"
"Manhattan","Midtown","Private room",661,132,8,1,"strict"
"Manhattan","West Village","Private room",140,28,36,3,"strict"
"Manhattan","Upper East Side","Private room",630,126,12,2,"strict"
"Manhattan","Upper East Side","Private room",804,161,11,6,"flexible"
"Manhattan","Midtown","Private room",1059,212,35,4,"flexible"
"Manhattan","Midtown","Private room",1037,207,37,4,"moderate"
"Manhattan","Upper East Side","Private room",815,163,9,1,"strict"
"Manhattan","Upper East Side","Private room",762,152,56,1,"flexible"
"Manhattan","SoHo","Private room",815,163,1,1,"moderate"
"Manhattan","SoHo","Private room",172,34,1,1,"strict"
"Manhattan","SoHo","Private room",51,10,1,1,"flexible"
"Manhattan","Upper East Side","Private room",137,27,51,1,"strict"
"Manhattan","Upper East Side","Private room",227,45,17,3,"strict"
"Manhattan","Upper East Side","Private room",1172,234,62,1,"flexible"
"Manhattan","Midtown","Private room",120,24,46,1,"moderate"
"Manhattan","Upper East Side","Private room",1104,221,23,3,"flexible"
"Manhattan","Upper East Side","Private room",717,143,1,4,"strict"
"Manhattan","Upper East Side","Private room",151,30,6,1,"flexible"
"Manhattan","Upper East Side","Private room",678,136,5,4,"strict"
"Manhattan","Upper East Side","Private room",182,36,10,1,"moderate"
"Manhattan","West Village","Private room",1043,209,3,3,"moderate"
"Manhattan","Midtown","Private room",157,31,1,1,"flexible"
"Manhattan","Upper East Side","Private room",181,36,29,3,"moderate"
"Manhattan","Upper East Side","Private room",353,71,89,1,"moderate"
"Manhattan","SoHo","Private room",463,93,32,5,"moderate"
"Manhattan","Midtown","Private room",237,47,1,5,"moderate"
"Manhattan","Midtown","Private room",839,168,3,2,"strict"
"Manhattan","Midtown","Private room",848,170,3,3,"strict"
"Manhattan","Midtown","Private room",815,163,2,3,"moderate"
"Manhattan","Upper East Side","Private room",1130,226,42,2,"moderate"
"Manhattan","West Village","Private room",1189,238,10,1,"moderate"
"Manhattan","Upper East Side","Private room",273,55,10,4,"strict"
"Manhattan","Nolita","Private room",173,35,51,1,"strict"
"Manhattan","Midtown","Private room",804,161,133,3,"moderate"
"Manhattan","Upper East Side","Private room",861,172,2,3,"strict"
"Manhattan","SoHo","Private room",631,126,35,2,"moderate"
"Manhattan","Midtown","Private room",1143,229,84,2,"strict"
"Manhattan","Midtown","Private room",325,65,12,2,"strict"
"Manhattan","Midtown","Private room",386,77,1,1,"moderate"
"Manhattan","Midtown","Private room",831,166,1,3,"moderate"
"Manhattan","Midtown","Private room",197,39,28,1,"flexible"
"Manhattan","Midtown","Private room",164,33,3,3,"moderate"
"Manhattan","Upper East Side","Private room",250,50,5,1,"moderate"
"Manhattan","West Village","Private room",1031,206,74,1,"flexible"
"Manhattan","Midtown","Private room",1090,218,167,3,"moderate"
"Manhattan","Upper East Side","Private room",288,58,16,5,"flexible"
"Manhattan","Upper East Side","Private room",533,107,38,1,"strict"
"Manhattan","SoHo","Private room",235,47,53,2,"strict"
"Manhattan","Upper East Side","Private room",513,103,11,2,"strict"
"Manhattan","Midtown","Private room",198,40,32,1,"flexible"
"Manhattan","Nolita","Private room",935,187,2,1,"flexible"
"Manhattan","West Village","Private room",378,76,14,1,"flexible"
"Manhattan","Upper East Side","Private room",875,175,4,1,"flexible"
"Manhattan","Upper East Side","Private room",80,16,10,1,"moderate"
"Manhattan","Upper East Side","Private room",462,92,2,1,"flexible"
"Manhattan","Upper East Side","Private room",485,97,9,1,"moderate"
"Manhattan","Midtown","Private room",184,37,98,3,"flexible"
"Manhattan","Upper East Side","Private room",570,114,2,1,"moderate"
"Manhattan","Upper East Side","Private room",150,30,8,2,"strict"
"Manhattan","Upper East Side","Private room",651,130,8,3,"flexible"
"Manhattan","West Village","Private room",264,53,6,1,"flexible"
"Manhattan","Upper East Side","Private room",168,34,1,5,"flexible"
"Manhattan","SoHo","Private room",79,16,102,2,"strict"
"Manhattan","Upper East Side","Private room",312,62,35,6,"moderate"
"Manhattan","Upper East Side","Private room",236,47,3,1,"moderate"
"Manhattan","Nolita","Private room",279,56,168,1,"flexible"
"Manhattan","West Village","Private room",244,49,58,2,"strict"
"Manhattan","Nolita","Private room",397,79,6,4,"moderate"
"Manhattan","Nolita","Private room",280,56,86,1,"moderate"
"Manhattan","Upper East Side","Private room",898,180,2,1,"flexible"
"Manhattan","Upper East Side","Private room",1174,235,90,3,"moderate"
"Manhattan","Nolita","Private room",1023,205,10,3,"strict"
"Manhattan","SoHo","Private room",551,110,8,2,"flexible"
"Manhattan","Upper East Side","Private room",973,195,7,4,"strict"
"Manhattan","SoHo","Private room",187,37,9,1,"strict"
"Manhattan","SoHo","Private room",359,72,25,1,"moderate"
"Manhattan","SoHo","Private room",1196,239,24,1,"strict"
"Manhattan","SoHo","Private room",123,25,1,3,"moderate"
"Manhattan","Midtown","Private room",630,126,41,5,"strict"
"Manhattan","Upper East Side","Private room",170,34,101,4,"moderate"
"Manhattan","Upper East Side","Private room",702,140,1,1,"moderate"
"Manhattan","Nolita","Private room",577,115,10,2,"strict"
"Manhattan","Upper East Side","Private room",818,164,3,1,"flexible"
"Manhattan","Midtown","Private room",562,112,1,2,"strict"
"Manhattan","Midtown","Private room",260,52,32,4,"flexible"
"Manhattan","Upper East Side","Private room",646,129,7,3,"flexible"
"Manhattan","Midtown","Private room",522,104,24,2,"flexible"
"Manhattan","Upper East Side","Private room",751,150,9,5,"moderate"
"Manhattan","Midtown","Private room",230,46,3,4,"strict"
"Manhattan","Midtown","Private room",1133,227,8,3,"moderate"
"Manhattan","Midtown","Private room",543,109,3,3,"flexible"
"Manhattan","Midtown","Private room",348,70,12,3,"strict"
"Manhattan","Midtown","Private room",477,95,2,3,"flexible"
"Manhattan","Midtown","Private room",575,115,7,3,"strict"
"Manhattan","Midtown","Private room",192,38,13,2,"strict"
"Manhattan","Midtown","Private room",212,42,3,4,"strict"
"Manhattan","Nolita","Private room",771,154,5,2,"flexible"
"Manhattan","Midtown","Private room",737,147,3,2,"strict"
"Manhattan","Upper East Side","Private room",792,158,73,1,"strict"
"Manhattan","Midtown","Private room",56,11,1,1,"strict"
"Manhattan","Nolita","Private room",1155,231,123,2,"strict"
"Manhattan","West Village","Private room",504,101,8,3,"strict"
"Manhattan","Upper East Side","Private room",726,145,61,2,"flexible"
"Manhattan","Upper East Side","Private room",198,40,1,1,"flexible"
"Manhattan","West Village","Private room",1045,209,107,1,"strict"
"Manhattan","Nolita","Private room",148,30,66,2,"flexible"
"Manhattan","Midtown","Private room",718,144,4,1,"moderate"
"Manhattan","Upper East Side","Private room",434,87,17,2,"flexible"
"Manhattan","Midtown","Private room",464,93,8,3,"flexible"
"Manhattan","Upper East Side","Private room",605,121,8,2,"flexible"
"Manhattan","Upper East Side","Private room",81,16,27,1,"moderate"
"Manhattan","Upper East Side","Private room",667,133,42,2,"strict"
"Manhattan","Midtown","Private room",407,81,2,1,"moderate"
"Manhattan","Upper East Side","Private room",271,54,11,1,"moderate"
"Manhattan","Midtown","Private room",649,130,23,2,"moderate"
"Manhattan","Midtown","Private room",1136,227,6,1,"strict"
"Manhattan","Upper East Side","Private room",640,128,19,4,"moderate"
"Manhattan","Upper East Side","Private room",616,123,3,2,"strict"
"Manhattan","Midtown","Private room",143,29,1,3,"strict"
"Manhattan","Midtown","Private room",472,94,2,3,"strict"
"Manhattan","Midtown","Private room",835,167,1,3,"moderate"
"Manhattan","Midtown","Private room",853,171,1,2,"moderate"
"Manhattan","Upper East Side","Private room",1167,233,14,2,"strict"
"Manhattan","Upper East Side","Private room",1187,237,14,1,"moderate"
"Manhattan","West Village","Private room",533,107,32,1,"strict"
"Manhattan","Upper East Side","Private room",433,87,19,1,"moderate"
"Manhattan","Midtown","Private room",435,87,2,2,"strict"
"Manhattan","Upper East Side","Private room",203,41,35,2,"strict"
"Manhattan","Midtown","Private room",226,45,2,3,"flexible"
"Manhattan","Midtown","Private room",609,122,1,3,"strict"
"Manhattan","Midtown","Private room",980,196,2,2,"flexible"
"Manhattan","Midtown","Private room",1019,204,21,2,"strict"
"Manhattan","Upper East Side","Private room",492,98,79,3,"moderate"
"Manhattan","Upper East Side","Private room",383,77,7,3,"moderate"
"Manhattan","Upper East Side","Private room",589,118,18,3,"strict"
"Manhattan","Upper East Side","Private room",940,188,133,1,"strict"
"Manhattan","Upper East Side","Private room",505,101,3,5,"flexible"
"Manhattan","Upper East Side","Private room",284,57,7,4,"moderate"
"Manhattan","SoHo","Private room",468,94,63,1,"strict"
"Manhattan","West Village","Private room",317,63,87,3,"flexible"
"Manhattan","Upper East Side","Private room",764,153,2,2,"flexible"
"Manhattan","Upper East Side","Private room",126,25,120,1,"flexible"
"Manhattan","Upper East Side","Private room",487,97,117,1,"strict"
"Manhattan","Nolita","Private room",68,14,8,1,"strict"
"Manhattan","Nolita","Private room",57,11,47,6,"flexible"
"Manhattan","Upper East Side","Private room",675,135,85,3,"moderate"
"Manhattan","Midtown","Private room",577,115,62,3,"flexible"
"Manhattan","Upper East Side","Private room",358,72,10,2,"strict"
"Manhattan","Upper East Side","Private room",296,59,58,1,"strict"
"Manhattan","Midtown","Private room",535,107,52,1,"strict"
"Manhattan","West Village","Private room",595,119,3,2,"moderate"
"Manhattan","Upper East Side","Private room",1042,208,12,2,"moderate"
"Manhattan","Midtown","Private room",1168,234,18,1,"moderate"
"Manhattan","Midtown","Private room",268,54,135,1,"flexible"
"Manhattan","Midtown","Private room",163,33,2,1,"strict"
"Manhattan","Midtown","Private room",500,100,29,2,"moderate"
"Manhattan","Midtown","Private room",825,165,56,2,"strict"
"Manhattan","Upper East Side","Private room",94,19,35,3,"flexible"
"Manhattan","SoHo","Private room",665,133,71,3,"moderate"
"Manhattan","Upper East Side","Private room",571,114,75,1,"strict"
"Manhattan","Upper East Side","Private room",700,140,30,5,"moderate"
"Manhattan","Midtown","Private room",614,123,15,2,"moderate"
"Manhattan","Midtown","Private room",651,130,2,3,"moderate"
"Manhattan","Midtown","Private room",1167,233,7,3,"flexible"
"Manhattan","Upper East Side","Private room",435,87,2,5,"flexible"
"Manhattan","Midtown","Private room",930,186,13,3,"flexible"
"Manhattan","Upper East Side","Private room",485,97,64,3,"moderate"
"Manhattan","SoHo","Private room",1125,225,61,1,"flexible"
"Manhattan","Upper East Side","Private room",136,27,39,2,"moderate"
"Manhattan","Midtown","Private room",97,19,2,2,"moderate"
"Manhattan","Midtown","Private room",692,138,12,1,"moderate"
"Manhattan","Upper East Side","Private room",420,84,4,2,"flexible"
"Manhattan","Midtown","Private room",1195,239,3,2,"strict"
"Manhattan","West Village","Private room",699,140,13,1,"moderate"
"Manhattan","Midtown","Private room",180,36,7,3,"moderate"
"Manhattan","SoHo","Private room",177,35,3,2,"moderate"
"Manhattan","Upper East Side","Private room",747,149,1,3,"flexible"
"Manhattan","Upper East Side","Private room",410,82,2,2,"strict"
"Manhattan","Midtown","Private room",176,35,79,2,"strict"
"Manhattan","SoHo","Private room",78,16,75,1,"flexible"
"Manhattan","Upper East Side","Private room",951,190,10,1,"flexible"
"Manhattan","SoHo","Private room",518,104,2,6,"moderate"
"Manhattan","Midtown","Private room",830,166,4,3,"moderate"
"Manhattan","SoHo","Private room",991,198,35,1,"flexible"
"Manhattan","SoHo","Private room",1125,225,42,1,"flexible"
"Manhattan","SoHo","Private room",504,101,2,5,"moderate"
"Manhattan","West Village","Private room",1118,224,56,2,"strict"
"Manhattan","West Village","Private room",181,36,1,2,"flexible"
"Manhattan","Upper East Side","Private room",147,29,44,1,"moderate"
"Manhattan","Upper East Side","Private room",727,145,45,2,"flexible"
"Manhattan","Midtown","Private room",717,143,2,3,"moderate"
"Manhattan","Upper East Side","Private room",1025,205,57,1,"flexible"
"Manhattan","Upper East Side","Private room",446,89,82,1,"flexible"
"Manhattan","Upper East Side","Private room",1100,220,4,2,"strict"
"Manhattan","Midtown","Private room",458,92,6,3,"strict"
"Manhattan","Midtown","Private room",686,137,1,3,"moderate"
"Manhattan","Upper East Side","Private room",214,43,57,2,"moderate"
"Manhattan","Nolita","Private room",998,200,2,1,"flexible"
"Manhattan","Nolita","Private room",234,47,1,1,"flexible"
"Manhattan","Upper East Side","Private room",447,89,8,2,"moderate"
"Manhattan","Midtown","Private room",451,90,32,4,"strict"
"Manhattan","SoHo","Private room",1081,216,14,1,"flexible"
"Manhattan","Upper East Side","Private room",552,110,2,1,"flexible"
"Manhattan","Upper East Side","Private room",360,72,18,1,"flexible"
"Manhattan","Upper East Side","Private room",895,179,13,1,"moderate"
"Manhattan","Nolita","Private room",1062,212,9,1,"moderate"
"Manhattan","Upper East Side","Private room",326,65,7,1,"strict"
"Manhattan","Midtown","Private room",443,89,53,1,"moderate"
"Manhattan","Midtown","Private room",901,180,3,3,"moderate"
"Manhattan","SoHo","Private room",914,183,8,3,"moderate"
"Manhattan","Midtown","Private room",131,26,28,3,"strict"
"Manhattan","Midtown","Private room",298,60,3,3,"moderate"
"Manhattan","West Village","Private room",804,161,4,5,"strict"
"Manhattan","West Village","Private room",322,64,4,5,"strict"
"Manhattan","SoHo","Private room",727,145,6,3,"moderate"
"Manhattan","SoHo","Private room",209,42,17,2,"flexible"
"Manhattan","Upper East Side","Private room",986,197,5,3,"flexible"
"Manhattan","Nolita","Private room",520,104,28,1,"flexible"
"Manhattan","Upper East Side","Private room",529,106,32,2,"strict"
"Manhattan","West Village","Private room",1044,209,1,2,"flexible"
"Manhattan","Midtown","Private room",513,103,4,1,"flexible"
"Manhattan","Upper East Side","Private room",916,183,75,1,"strict"
"Manhattan","West Village","Private room",584,117,2,3,"strict"
"Manhattan","SoHo","Private room",1084,217,7,5,"strict"
"Manhattan","West Village","Private room",810,162,7,1,"moderate"
"Manhattan","SoHo","Private room",294,59,3,3,"flexible"
"Manhattan","Nolita","Private room",342,68,2,3,"strict"
"Manhattan","Upper East Side","Private room",177,35,11,4,"moderate"
"Manhattan","Midtown","Private room",264,53,2,2,"flexible"
"Manhattan","Upper East Side","Private room",642,128,22,3,"flexible"
"Manhattan","Upper East Side","Private room",830,166,20,1,"moderate"
"Manhattan","SoHo","Private room",417,83,3,5,"moderate"
"Manhattan","Midtown","Private room",261,52,5,2,"strict"
"Manhattan","SoHo","Private room",446,89,3,1,"strict"
"Manhattan","SoHo","Private room",919,184,31,1,"strict"
"Manhattan","Upper East Side","Private room",322,64,76,1,"flexible"
"Manhattan","Upper East Side","Private room",950,190,59,1,"flexible"
"Manhattan","Midtown","Private room",594,119,44,1,"moderate"
"Manhattan","West Village","Private room",1045,209,107,1,"flexible"
"Manhattan","Nolita","Private room",148,30,66,2,"moderate"
"Manhattan","Midtown","Private room",718,144,4,1,"flexible"
"Manhattan","Upper East Side","Private room",434,87,17,2,"flexible"
"Manhattan","Midtown","Private room",464,93,8,3,"moderate"
"Manhattan","Upper East Side","Private room",605,121,8,2,"moderate"
"Manhattan","Upper East Side","Private room",81,16,27,1,"flexible"
"Manhattan","Upper East Side","Private room",667,133,42,2,"flexible"
"Manhattan","Midtown","Private room",407,81,2,1,"moderate"
"Manhattan","Upper East Side","Private room",271,54,11,1,"flexible"
"Manhattan","Midtown","Private room",649,130,23,2,"moderate"
"Manhattan","Midtown","Private room",1136,227,6,1,"flexible"
"Manhattan","Upper East Side","Private room",640,128,19,4,"moderate"
"Manhattan","Upper East Side","Private room",616,123,3,2,"flexible"
"Manhattan","Midtown","Private room",143,29,1,3,"strict"
"Manhattan","Midtown","Private room",472,94,2,3,"flexible"
"Manhattan","Midtown","Private room",835,167,1,3,"moderate"
"Manhattan","Midtown","Private room",853,171,1,2,"moderate"
"Manhattan","Upper East Side","Private room",1167,233,14,2,"strict"
"Manhattan","Upper East Side","Private room",1187,237,14,1,"strict"
"Manhattan","West Village","Private room",533,107,32,1,"flexible"
"Manhattan","Upper East Side","Private room",433,87,19,1,"flexible"
"Manhattan","Midtown","Private room",435,87,2,2,"flexible"
"Manhattan","Upper East Side","Private room",203,41,35,2,"strict"
"Manhattan","Midtown","Private room",226,45,2,3,"strict"
"Manhattan","Midtown","Private room",609,122,1,3,"strict"
"Manhattan","Midtown","Private room",980,196,2,2,"strict"
"Manhattan","Midtown","Private room",1019,204,21,2,"strict"
"Manhattan","Upper East Side","Private room",492,98,79,3,"strict"
"Manhattan","Upper East Side","Private room",383,77,7,3,"flexible"
"Manhattan","Upper East Side","Private room",589,118,18,3,"flexible"
"Manhattan","Upper East Side","Private room",940,188,133,1,"strict"
"Manhattan","Upper East Side","Private room",505,101,3,5,"flexible"
"Manhattan","Upper East Side","Private room",284,57,7,4,"strict"
"Manhattan","SoHo","Private room",468,94,63,1,"strict"
"Manhattan","West Village","Private room",317,63,87,3,"flexible"
"Manhattan","Upper East Side","Private room",764,153,2,2,"moderate"
"Manhattan","Nolita","Private room",1062,212,9,1,"flexible"
"Manhattan","Upper East Side","Private room",326,65,7,1,"flexible"
"Manhattan","Midtown","Private room",443,89,53,1,"flexible"
"Manhattan","Midtown","Private room",901,180,3,3,"moderate"
"Manhattan","SoHo","Private room",914,183,8,3,"strict"
"Manhattan","Midtown","Private room",853,171,17,2,"flexible"
